id,title,description,category,status,result,voting_ends_at,resolution_deadline,resolution_criteria,resolution_sources,resolution_confidence,total_yes_votes,total_no_votes,total_pool,created_at,resolved_at
019b6715-b535-7558-8901-4f6c4f465539,Doumbouya junta prez locked by Dec30 or Guinea chaos?,Guinea election drama peaks - junta leader officially wins prez race tomorrow or post-coup meltdown continues?,politics,SETTLED,INVALID,2025-12-29 04:30:34.548+00,2025-12-29 10:30:34.548+00,"Resolves YES if Gen. Mamadi Doumbouya is officially declared the winner of the Guinean Presidential Election by election authorities by December 30, 2025 11:59 PM UTC.","""[]""",100,1,0,0.50,2025-12-28 22:30:34.55743+00,2025-12-29 10:30:43.956+00
019b6715-b535-7558-8901-537bd8158f80,Vetëvendosje crushes 45%+ Kosovo vote or coalition cope?,Kosovo parliamentals heating up - Self-Determination Movement grabs over 45% in finals or forced into messy coalition?,politics,SETTLED,INVALID,2025-12-29 04:30:34.548+00,2025-12-29 10:30:34.548+00,Resolves YES if the Self-Determination Movement (Vetëvendosje) secures over 45% of the vote in the final certified results of the Kosovo Parliamentary Elections per official election commission.,"""[]""",100,1,0,0.50,2025-12-28 22:30:34.55743+00,2025-12-29 10:30:52.558+00
019b6715-b535-7558-8901-5927c6487765,CR7 Best ME Player Globe: GOAT flex or fan salt szn?,Ronaldo bags Middle East player award at Globe Soccer - social media hails deserved or cries politics by tomorrow? Eternal debate.,sports,SETTLED,INVALID,2025-12-29 04:30:34.548+00,2025-12-29 10:30:34.548+00,"Resolves YES if Cristiano Ronaldo's 'Best Middle East Player' award is generally perceived as well-deserved by most football fans on social media (positive posts > negative in top 20 X/Twitter posts with 1k+ likes) by December 29, 2025 11:59 PM UTC.","""[]""",100,1,0,1.00,2025-12-28 22:30:34.55743+00,2025-12-29 10:30:54.72+00
019b6715-b535-7558-8901-344184ac38ad,Storm nukes 500k+ power outs by Dec30 or grid based?,Winter bomb threatening massive blackouts across states - does it take down over half a mil customers or does the grid hold like a champ?,weather,SETTLED,INVALID,2025-12-29 04:30:34.548+00,2025-12-29 10:30:34.548+00,"Resolves YES if power outages from the winter storm impact over 500,000 customers across multiple states by December 30, 2025 11:59 PM ET per official reports from PowerOutage.us or utility providers.","""[]""",100,1,0,0.25,2025-12-28 22:30:34.55743+00,2025-12-29 10:30:44.654+00
019b6715-b535-7558-8901-28f9ed242c3f,Great Lakes 15+ snow dump by Dec30 or total flake?,Massive winter storm barreling through - will it bury any Great Lakes spot under 15 inches or fizzle like a cope? Degens calling totals rn.,weather,SETTLED,INVALID,2025-12-29 04:30:34.548+00,2025-12-29 10:30:34.548+00,"Resolves YES if any location in the Great Lakes region (MI, WI, OH, etc.) officially reports over 15 inches of snowfall accumulation from the current winter storm by December 30, 2025 11:59 PM ET per NWS or NOAA records.","""[]""",100,1,0,0.25,2025-12-28 22:30:34.55743+00,2025-12-29 10:30:42.796+00
019b6715-b536-7558-8901-62e84a9c46f2,Vice Ganda Best Actor MMFF: PH queen or instant drag?,Vice Ganda shocks with Best Actor at 51st MMFF - mainstream PH media/fans celebrate widely or controversy explodes by tomorrow?,celebrities,SETTLED,INVALID,2025-12-29 04:30:34.548+00,2025-12-29 10:30:34.548+00,"Resolves YES if Vice Ganda's Best Actor win at the 51st Metro Manila Film Festival is widely celebrated positively by at least 5 major Filipino media outlets (e.g., ABS-CBN, GMA, Inquirer) and fan reactions by December 29, 2025 11:59 PM PHT.","""[]""",100,1,0,0.50,2025-12-28 22:30:34.55743+00,2025-12-29 10:30:52.436+00
019b6715-b535-7558-8901-428aaf4f80bb,South/Midwest shatters Dec29 heat record or winter wins?,Weird warm spell amid storm szn - any major city south/central sets new Dec29 high tomorrow or back to freeze? Climate degens assemble.,weather,SETTLED,INVALID,2025-12-29 02:30:34.548+00,2025-12-29 08:30:34.548+00,"Resolves YES if any major city in U.S. South or Midwest officially reports a new all-time high temperature record for December 29 per NOAA records by December 30, 2025.","""[]""",100,0,1,0.10,2025-12-28 22:30:34.55743+00,2025-12-29 08:30:43.531+00
019b6715-b535-7558-8901-3b5a4c3c24c8,Midwest city blizzard/whiteout by Dec30 or hype cope?,"NWS hyping epic storm - will a major Upper Midwest city (Chicago, MKE, etc.) get official blizzard/whiteout conditions or total bust?",weather,SETTLED,INVALID,2025-12-29 04:30:34.548+00,2025-12-29 10:30:34.548+00,"Resolves YES if NWS confirms 'whiteout' or 'blizzard' conditions in at least one major Upper Midwest city (e.g., Chicago, Milwaukee, Minneapolis) by December 30, 2025 11:59 PM ET.","""[]""",100,1,0,0.25,2025-12-28 22:30:34.55743+00,2025-12-29 10:30:42.491+00
019b6715-ab4f-7558-8901-145f8403dc89,Midwest blizzard whiteout nukes city by Dec30 or storm cooked?,NWS hyping massive winter storm for Upper Midwest - whiteout or blizzard in a major city like Chicago or Minneapolis? Bet on if it delivers chaos or flakes out.,weather,LIVE,,2025-12-30 22:30:32.013+00,2025-12-31 04:30:32.013+00,"Resolves YES if the National Weather Service officially reports or confirms 'blizzard' or 'whiteout' conditions in at least one major Upper Midwest city (Chicago, Minneapolis-St. Paul, Milwaukee, Detroit, Cleveland) from the current winter storm by December 30, 2025, per NWS.gov alerts or summaries.",,,3,0,0.75,2025-12-28 22:30:32.017106+00,
019b6710-2a8a-7558-8901-0cc147718bbb,Great Lakes 15+ snow bomb by Dec30 or total flake szn?,Bomb winter storm slamming Great Lakes rn—will it bury anywhere with 15+ inches of snow or just another overhyped dusting for the timeline?,weather,SETTLED,INVALID,2025-12-29 04:24:31.368+00,2025-12-29 10:24:31.368+00,"Resolves YES if any official National Weather Service snow gauge in the Great Lakes region (MI, WI, IL, IN, OH, PA, NY bordering the lakes) reports over 15 inches accumulation from this storm by end of December 30, 2025 per NWS.gov or NOAA storm summary.","""[]""",100,0,1,0.25,2025-12-28 22:24:31.372905+00,2025-12-29 10:24:39.023+00
